Unnamed: 0,TARGET,CODENAME,REAL NAME,GENDER,RELATIONSHIP STATUS,ALIGNMENT,HEIGHT,WEIGHT,EYECOLOR,HAIRCOLOR,IDENTIFIES AS,BIRTHPLACE,CITIZENSHIP,EDUCATION,EXPERIENCE,INTELLIGENCE,STRENGTH,SPEED,DURABILITY,ENERGY,FIGHTING,PROFILE PIC,FAVORITE HANGOUTS,DETAILED FILE,POWERS URL
0,Spider-Man ,Spider-Man,Peter Benjamin Parker,Male ,Single,Good ,70,167.0,Hazel ,Brown,Heterosexual,"Queens, New York City, New York",American,High school; coursing college,"Adventurer, inventor, photographer, teaching assistant, vigilante; former President and CEO, bodyguard, mechanic, mascot, President of the Uncle Ben Foundation, special class guidance counselor, creative engineer, assistant high school coach, high school science teacher, student, research scientist, wrestler, fugitive",4,4,3,3,1,4,https://static.wikia.nocookie.net/marveldatabase/images/9/96/Friendly_Neighborhood_Spider-Man_Vol_2_8_Granov_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20190608001208,"New York City, New York",https://marvel.fandom.com/wiki/Peter_Parker_(Earth-616),https://marvel.fandom.com/wiki/Peter_Parker_(Earth-616)#Powers_and_Abilities
1,Captain America ,Captain America,"Steven ""Steve"" Rogers",Male ,Single,Good ,74,240.0,Blue ,White,Heterosexual,"Manhattan, New York City, New York",American,"High school graduate; one year of art school; military basic training; private tutoring in hand-to-hand combat, gymnastics, military strategy, piloting, demolition, and other disciplines","Adventurer, federal official, intelligence operative; former soldier, liaison between S.H.I.E.L.D. and the Avengers, police officer, teacher, sparring partner",3,3,2,3,1,6,https://static.wikia.nocookie.net/marveldatabase/images/b/b1/Captain_America_Vol_6_2_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20110719042719,"Avengers Mountain, North Pole, Arctic Circle, Arctic Ocean",https://marvel.fandom.com/wiki/Captain_America_(Steven_Rogers),https://marvel.fandom.com/wiki/Captain_America_(Steven_Rogers)#Powers_and_Abilities
2,Wolverine ,Wolverine,James Howlett,Male ,Divorced,Neutral ,63,195.0,Blue ,Black,Heterosexual,"Cold Lake, Alberta, Canada","Canadian, Krakoan,  ","Privately tutored as a child, special military/espionage training","Adventurer and Master samurai warrior; former headmaster, instructor, co-owner of the Princess Bar, bartender, bouncer, spy for several agencies, C.I.A. operative, government operative, mercenary, criminal, soldier , sailor, miner, mechanic, leader",2,4,2,7,2,7,https://static.wikia.nocookie.net/marveldatabase/images/1/16/James_Howlett_%28Earth-616%29_from_Wolverine_Vol_7_1_Silva_Variant_cover_001.jpg/revision/latest/scale-to-width-down/329?cb=20191123041154,"Krakoa, Pacific Ocean; Summer House, Blue Area of the Moon; The Pointe, Atlantic Ocean",https://marvel.fandom.com/wiki/Wolverine_(James_%22Logan%22_Howlett),https://marvel.fandom.com/wiki/Wolverine_(James_%22Logan%22_Howlett)#Powers_and_Abilities
3,Iron Man ,Iron Man,"Anthony Edward ""Tony"" Stark",Male ,Single,Good ,73,225.0,Blue ,Black,Heterosexual,"Sofia, Bulgaria","American,  Bulgarian","MIT , multiple PhDs in physics, mechanical engineering and electrical engineering","Mechanical Engineer, adventurer, inventor, industrialist, founder of the Maria Stark Foundation, founder of Stark Unlimited; former CEO of Stark Industries, president emeritus of Resilient, liaison between S.H.I.E.L.D. and the Avengers, United States Secretary of Defense, Executive Director of S.H.I.E.L.D., CEO of Stark Solutions, Circuits Maximus, and Stark International",6,8,7,7,7,4,https://static.wikia.nocookie.net/marveldatabase/images/0/0a/Iron_Man_Vol_6_1_Brooks_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20210406033249,"Tony Stark's Brownstone, Lower East Side, Manhattan, New York City, New York; Avengers Mountain, North Pole",https://marvel.fandom.com/wiki/Iron_Man_(Anthony_%22Tony%22_Stark),https://marvel.fandom.com/wiki/Iron_Man_(Anthony_%22Tony%22_Stark)#Powers_and_Abilities
4,Thor ,Thor,Thor Odinson,Male ,Single,Good ,78,640.0,Blue ,Blond,Heterosexual,A cave in Norway,Asgardian,As Thor: Tutored by scholars of Asgard;As Blake: Doctor of Medicine ,"Monarch/Lord of Asgard and Asgardian Sky Father, Asgardian God of Thunder;, All-Father of Asgard, former crown prince of Asgard, physician, surgeon , Construction worker , EMS Technician ",2,7,7,6,6,4,https://static.wikia.nocookie.net/marveldatabase/images/5/55/Thor_Odinson_%28Earth-616%29_from_Empyre_Vol_1_1_001.jpg/revision/latest/scale-to-width-down/325?cb=20200829210404,"Toothgnasher, Newark Harbor, New Jersey; Avengers Mountain, North Pole, Arctic Circle, Arctic Ocean;  City of Asgard, Asgard",https://marvel.fandom.com/wiki/Thor_(Thor_Odinson),https://marvel.fandom.com/wiki/Thor_(Thor_Odinson)#Powers_and_Abilities
5,Benjamin Grimm,The Thing,"Benjamin Jacob ""Ben"" Grimm",Male ,Married,Good ,72,500.0,Blue ,Bald,Heterosexual,"New York City, New York",American,"College graduate , U.S. Air Force pilot training, NASA astronaut training","Adventurer; former construction worker, security guard, astronaut, test pilot, college football player, student, wrestler",3,6,2,6,1,5,https://static.wikia.nocookie.net/marveldatabase/images/a/a4/Fantastic_Four_Vol_6_1_The_Thing_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180523101159,"4 Yancy Street, Lower East Side, Manhattan, New York City, New York ",https://marvel.fandom.com/wiki/Benjamin_Grimm_(Earth-616),https://marvel.fandom.com/wiki/Benjamin_Grimm_(Earth-616)#Powers_and_Abilities
6,Reed Richards,Mister Fantastic,Dr. Reed Richards,Male ,Married,Good ,73,180.0,Brown ,Brown,Heterosexual,"Central City, California",American,"Reed attended such prestigious universities such as the California Institute of Technology, Harvard University, Columbia University, and State University, acquiring multiple scientific doctorates in fields such as engineering, math, and physics. He has claimed to have 18 Doctorates.","Scientist, adventurer, formerly cosmic being",6,2,2,5,1,3,https://static.wikia.nocookie.net/marveldatabase/images/8/84/Reed_Richards_%28Earth-616%29_from_Fantastic_Four_Vol_6_25_cover_001.jpg/revision/latest/scale-to-width-down/325?cb=20210414044706,"4 Yancy Street, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Reed_Richards_(Earth-616),https://marvel.fandom.com/wiki/Reed_Richards_(Earth-616)#Powers_and_Abilities
7,Hulk ,Hulk,Dr. Robert Bruce Banner,Male ,Separated,Good ,70,128.0,Brown ,Brown,Heterosexual,"Dayton, Ohio","American, Sakaaran","Ph.D. in Nuclear Physics and two other fields, California Institute of Technology ","Nuclear physicist, agent of S.H.I.E.L.D.; former church janitor, warrior, ruler of Sakaar, rebel leader, gladiator/slave, adventurer, mechanic, leader of the Pantheon, enforcer, research scientist, stable hand, banker, ship's crewman, farmhand, steelworker, assistant at special needs children's school, waiter, dishwasher, carnival worker, ore miner, construction worker, janitor, coal miner, superhero",8,7,3,7,6,4,https://static.wikia.nocookie.net/marveldatabase/images/d/dc/Immortal_Hulk_20_Unknown_Comic_Books_Exclusive_Virgin_Variant.jpg/revision/latest/scale-to-width-down/328?cb=20190830071143,New York City,https://marvel.fandom.com/wiki/Bruce_Banner_(Earth-616),https://marvel.fandom.com/wiki/Bruce_Banner_(Earth-616)#Powers_and_Abilities
8,Scott Summers,Cyclops,Scott Summers,Male ,Divorced,Neutral ,75,195.0,Brown ,Brown,Heterosexual,"Anchorage, Alaska","American, Krakoan","College Graduate, Xavier's School for Gifted Youngsters","Adventurer; former teacher, fugitive, leader of mutant race/nation, headmaster, radio announcer, student and space pirate",3,2,2,2,5,4,https://static.wikia.nocookie.net/marveldatabase/images/3/36/House_of_X_Vol_1_1_Character_Decades_Variant_Textless.jpg/revision/latest/scale-to-width-down/325?cb=20190811005008,"Krakoa, Pacific Ocean; Summer House, Blue Area of the Moon",https://marvel.fandom.com/wiki/Scott_Summers_(Earth-616),https://marvel.fandom.com/wiki/Scott_Summers_(Earth-616)#Powers_and_Abilities
9,Jonathan Storm,Human Torch,"Jonathan Lowell Spencer ""Johnny"" Storm",Male ,Divorced,Good ,70,170.0,Blue ,Blond,Heterosexual,"Glenville, Long Island, New York",American,Glenville High graduate; former student at Empire State University and Metro College,"Adventurer, firefighter, Chief Financial Officer - Fantastic Four, Inc.; former actor, mechanic, race car driver, circus performer, musician, ruler of the Negative Zone",2,2,5,8,5,3,https://static.wikia.nocookie.net/marveldatabase/images/8/88/Fantastic_Four_Vol_6_1_Human_Torch_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180523100956,"formerly Avengers Mansion, Manhattan, New York City, New York; Schaefer Theater, Manhattan, New York City, New York; Baxter Building, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Jonathan_Storm_(Earth-616),https://marvel.fandom.com/wiki/Jonathan_Storm_(Earth-616)#Powers_and_Abilities
