ALIGNMENT,BIRTHPLACE,CITIZENSHIP,CODENAME,City,DETAILED FILE,DURABILITY,EDUCATION,ENERGY,EXPERIENCE,EYECOLOR,FAVORITE HANGOUTS,FIGHTING,GENDER,HAIRCOLOR,HEIGHT,IDENTIFIES AS,INTELLIGENCE,Latitude,Longitude,POWERS URL,PROFILE PIC,REAL NAME,RELATIONSHIP STATUS,SPEED,STRENGTH,State,TARGET,WEIGHT,Zip Code,_id
Good,"Queens, New York City, New York",American,Spider-Man,Flushing,https://marvel.fandom.com/wiki/Peter_Parker_(Earth-616),3,High school; coursing college,1,Adventurer; inventor; photographer; teaching assistant; vigilante;  President and CEO; bodyguard; mechanic; mascot; President of the Uncle Ben Foundation; special class guidance counselor; creative engineer; assistant high school coach; high school science teacher; student; research scientist; wrestler; fugitive,Hazel,"New York City, New York",4,Male,Brown,70,Heterosexual,4,40.74982429999999,-73.7976337,https://marvel.fandom.com/wiki/Peter_Parker_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/9/96/Friendly_Neighborhood_Spider-Man_Vol_2_8_Granov_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20190608001208,Peter Benjamin Parker,Single,3,4,NY,Spider-Man ,167,11358,"{'$oid': '60ba7853eb3d706d33244c7e'}"
Good,"Manhattan, New York City, New York",American,Captain America,New York,https://marvel.fandom.com/wiki/Captain_America_(Steven_Rogers),3,"High school graduate; one year of art school; military basic training; private tutoring in hand-to-hand combat, gymnastics, military strategy, piloting, demolition, and other disciplines",1,Adventurer; federal official; intelligence operative;  soldier; liaison between S.H.I.E.L.D. and the Avengers; police officer; teacher; sparring partner,Blue,"Avengers Mountain, North Pole, Arctic Circle, Arctic Ocean",6,Male,White,74,Heterosexual,3,40.7587979,-73.96234270000002,https://marvel.fandom.com/wiki/Captain_America_(Steven_Rogers)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/b/b1/Captain_America_Vol_6_2_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20110719042719,"Steven ""Steve"" Rogers",Single,2,3,NY,Captain America ,240,10155,"{'$oid': '60ba7853eb3d706d33244c7f'}"
Good,"Central City, California",American,Mister Fantastic,Clarksburg,https://marvel.fandom.com/wiki/Reed_Richards_(Earth-616),5,"Reed attended such prestigious universities such as the California Institute of Technology, Harvard University, Columbia University, and State University, acquiring multiple scientific doctorates in fields such as engineering, math, and physics. He has claimed to have 18 Doctorates.",1,Scientist; adventurer; ;  cosmic being,Brown,"4 Yancy Street, Manhattan, New York City, New York",3,Male,Brown,73,Heterosexual,6,38.392688,-121.5730111,https://marvel.fandom.com/wiki/Reed_Richards_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/8/84/Reed_Richards_%28Earth-616%29_from_Fantastic_Four_Vol_6_25_cover_001.jpg/revision/latest/scale-to-width-down/325?cb=20210414044706,Dr. Reed Richards,Married,2,2,CA,Reed Richards,180,95612,"{'$oid': '60ba7853eb3d706d33244c81'}"
Good,"Glenville, Long Island, New York",American,Human Torch,Schenectady,https://marvel.fandom.com/wiki/Jonathan_Storm_(Earth-616),8,Glenville High graduate; former student at Empire State University and Metro College,5,Adventurer; firefighter; Chief Financial Officer - Fantastic Four; Inc.;  actor; mechanic; race car driver; circus per; musician; ruler of the Negative Zone,Blue,"formerly Avengers Mansion, Manhattan, New York City, New York; Schaefer Theater, Manhattan, New York City, New York; Baxter Building, Manhattan, New York City, New York",3,Male,Blond,70,Heterosexual,2,42.86825020000001,-73.9282787,https://marvel.fandom.com/wiki/Jonathan_Storm_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/8/88/Fantastic_Four_Vol_6_1_Human_Torch_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180523100956,"Jonathan Lowell Spencer ""Johnny"" Storm",Divorced,5,2,NY,Jonathan Storm,170,12302,"{'$oid': '60ba7853eb3d706d33244c82'}"
Good,"Glenville, Long Island, New York",American,Invisible Woman,Schenectady,https://marvel.fandom.com/wiki/Susan_Storm_(Earth-616),6,Doctorate in unrevealed field; high school education,5,Adventurer; Regent of the Uhari throne at The Peak; substitute teacher; actress; spy; student,Blue,"New York City, New York",3,Female,Blond,66,Heterosexual,3,42.86825020000001,-73.9282787,https://marvel.fandom.com/wiki/Susan_Storm_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/3/39/Susan_Storm_%28Earth-616%29_from_Fantastic_Four_Vol_6_25_cover_001.jpg/revision/latest/scale-to-width-down/325?cb=20210414044704,"Dr. Susan ""Sue"" Storm Richards",Married,3,2,NY,Susan Storm,120,12302,"{'$oid': '60ba7853eb3d706d33244c83'}"
Good,"Waverly, Iowa",American,Hawkeye,Waverly,https://marvel.fandom.com/wiki/Clinton_Barton_(Earth-616),2,"High school dropout, various self-directed studies",1,Adventurer; Vigilante; landlord;  S.H.I.E.L.D. agent; outlaw adventurer; revolutionary; security chief; ranch hand; archery tutor; carnival per; roustabout; butcher shop worker,Blue,"Clint Barton's Apartment Building, Bedford-Stuyvesant, Brooklyn, New York City, New York; West Coast Avengers HQ, Venice, Los Angeles, California",6,Male,Blond,75,Heterosexual,3,42.7258142,-92.4754626,https://marvel.fandom.com/wiki/Clinton_Barton_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/7/7e/Civil_War_II_Vol_1_3_Hawkeye_Variant_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20160312004004,"Clinton Francis ""Clint"" Barton",Divorced,2,2,IA,Clinton Barton,230,50677,"{'$oid': '60ba7853eb3d706d33244c84'}"
Good,"Hell's Kitchen, New York City, New York",American,Daredevil,New York,https://marvel.fandom.com/wiki/Matthew_Murdock_(Earth-616),2,"J.D. in law at Columbia University and Harvard Law School, Self-taught in mechanical engineering",4,Parole officer; Adventurer; Vigilante; Lawyer; Mayor of New York City; Deputy Mayor of New York City; Assistant District Attorney; Leader of the Hand; Short Order Cook,Blue,"Matt Murdock's Apartment, Hell's Kitchen, New York City, New York",5,Male,Red,71,Heterosexual,3,40.76442279999999,-73.9923918,https://marvel.fandom.com/wiki/Matthew_Murdock_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/a/aa/Daredevil_Vol_6_21_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20200221001243,"Matthew Michael ""Matt"" Murdock",Divorced,2,3,NY,Matthew Murdock,185,10019,"{'$oid': '60ba7853eb3d706d33244c85'}"
Good,"Philadelphia, Pennsylvania",American,Doctor Strange,Philadelphia,https://marvel.fandom.com/wiki/Stephen_Strange_(Earth-616),2,"Medical doctorate from Columbia University, residency at New York-Presbyterian Hospital, and extensive sorcery training through a mixture of self-education and vast arcane lore of a Sorcerer Supreme",6,Sorcerer Supreme; adventurer; occult consultant; veterinarian; physician; neurosurgeon,Grey,"Sanctum Sanctorum, 177A Bleecker Street, Greenwich Village, Manhattan, New York City, New York",6,Male,Black,72,Heterosexual,4,39.9527237,-75.16352619999998,https://marvel.fandom.com/wiki/Stephen_Strange_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/3/35/Doctor_Strange_Annual_Vol_3_1_Textless.jpg/revision/latest/scale-to-width-down/328?cb=20191004204455,Dr. Stephen Vincent Strange,Separated,9,2,PA,Stephen Strange,180,19107,"{'$oid': '60ba7853eb3d706d33244c86'}"
Good,"Montoursville, Pennsylvania",American,Mary Jane Watson,Montoursville,https://marvel.fandom.com/wiki/Mary_Jane_Watson_(Earth-616),2,College,1,Actress;  executive assistant of Tony Stark; professional fashion model; nightclub owner,Green,"New York City, New York",2,Female,Red,68,Heterosexual,2,41.2552213,-76.9128928,https://marvel.fandom.com/wiki/Mary_Jane_Watson_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/5/5c/Amazing_Spider-Man_Vol_5_1_ComicBookRealm.com_Exclusive_Virgin_Variant.jpg/revision/latest/scale-to-width-down/325?cb=20180808005051,"Mary Jane ""MJ"" Watson",Single,2,2,PA,Mary Jane Watson,120,17754,"{'$oid': '60ba7853eb3d706d33244c87'}"
Neutral,"Newark, New Jersey",American,J. Jonah Jameson,Newark,https://marvel.fandom.com/wiki/John_Jonah_Jameson_(Earth-616),2,Homeschooled,1,Radio Announcer ;  Mayor of New York City ; Publisher of the Daily Bugle; Publisher and Editor-in-chief of NOW Magazine; publisher of Woman Magazine; CEO of Alchemax; reporter for the Fact Channel News,Blue,"TNM Main Office, Midtown, Manhattan, New York City, New York;",3,Male,Black,71,Heterosexual,3,40.735657,-74.1723667,https://marvel.fandom.com/wiki/John_Jonah_Jameson_(Earth-616)#Powers_and_Abilities,https://static.wikia.nocookie.net/marveldatabase/images/9/96/John_Jonah_Jameson_%28Earth-616%29_from_Marvel_Knights_Spider-Man_Vol_1_4_001.jpg/revision/latest/scale-to-width-down/330?cb=20161214062419,"John Jonah Jameson, Jr.",Widowed,2,2,NJ,John Jonah Jameson,181,7102,"{'$oid': '60ba7853eb3d706d33244c88'}"
