,_id,TARGET,CODENAME,REAL NAME,GENDER,RELATIONSHIP STATUS,ALIGNMENT,HEIGHT,WEIGHT,EYECOLOR,HAIRCOLOR,IDENTIFIES AS,BIRTHPLACE,CITIZENSHIP,EDUCATION,EXPERIENCE,INTELLIGENCE,STRENGTH,SPEED,DURABILITY,ENERGY,FIGHTING,PROFILE PIC,FAVORITE HANGOUTS,DETAILED FILE,POWERS URL,City,State,Zip Code,Latitude,Longitude
0,{'$oid': '60ba7853eb3d706d33244c7e'},Spider-Man ,Spider-Man,Peter Benjamin Parker,Male,Single,Good,70,167.0,Hazel,Brown,Heterosexual,"Queens, New York City, New York",American,High school; coursing college,Adventurer; inventor; photographer; teaching assistant; vigilante;  President and CEO; bodyguard; mechanic; mascot; President of the Uncle Ben Foundation; special class guidance counselor; creative engineer; assistant high school coach; high school science teacher; student; research scientist; wrestler; fugitive,4,4,3,3,1,4,https://static.wikia.nocookie.net/marveldatabase/images/9/96/Friendly_Neighborhood_Spider-Man_Vol_2_8_Granov_Variant_Textless.jpg/revision/latest/scale-to-width-down/333?cb=20190608001208,"New York City, New York",https://marvel.fandom.com/wiki/Peter_Parker_(Earth-616),https://marvel.fandom.com/wiki/Peter_Parker_(Earth-616)#Powers_and_Abilities,Flushing,NY,11358,40.7498243,-73.7976337
1,{'$oid': '60ba7853eb3d706d33244c7f'},Captain America ,Captain America,"Steven ""Steve"" Rogers",Male,Single,Good,74,240.0,Blue,White,Heterosexual,"Manhattan, New York City, New York",American,"High school graduate; one year of art school; military basic training; private tutoring in hand-to-hand combat, gymnastics, military strategy, piloting, demolition, and other disciplines",Adventurer; federal official; intelligence operative;  soldier; liaison between S.H.I.E.L.D. and the Avengers; police officer; teacher; sparring partner,3,3,2,3,1,6,https://static.wikia.nocookie.net/marveldatabase/images/b/b1/Captain_America_Vol_6_2_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20110719042719,"Avengers Mountain, North Pole, Arctic Circle, Arctic Ocean",https://marvel.fandom.com/wiki/Captain_America_(Steven_Rogers),https://marvel.fandom.com/wiki/Captain_America_(Steven_Rogers)#Powers_and_Abilities,New York,NY,10155,40.7587979,-73.9623427
2,{'$oid': '60ba7853eb3d706d33244c80'},Benjamin Grimm,The Thing,"Benjamin Jacob ""Ben"" Grimm",Male,Married,Good,72,500.0,Blue,Bald,Heterosexual,"New York City, New York",American,"College graduate , U.S. Air Force pilot training, NASA astronaut training",Adventurer;  construction worker; security guard; astronaut; test pilot; college football player; student; wrestler,3,6,2,6,1,5,https://static.wikia.nocookie.net/marveldatabase/images/a/a4/Fantastic_Four_Vol_6_1_The_Thing_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180523101159,"4 Yancy Street, Lower East Side, Manhattan, New York City, New York ",https://marvel.fandom.com/wiki/Benjamin_Grimm_(Earth-616),https://marvel.fandom.com/wiki/Benjamin_Grimm_(Earth-616)#Powers_and_Abilities,,,10000,40.7127281,-74.0060152
3,{'$oid': '60ba7853eb3d706d33244c81'},Reed Richards,Mister Fantastic,Dr. Reed Richards,Male,Married,Good,73,180.0,Brown,Brown,Heterosexual,"Central City, California",American,"Reed attended such prestigious universities such as the California Institute of Technology, Harvard University, Columbia University, and State University, acquiring multiple scientific doctorates in fields such as engineering, math, and physics. He has claimed to have 18 Doctorates.",Scientist; adventurer; ;  cosmic being,6,2,2,5,1,3,https://static.wikia.nocookie.net/marveldatabase/images/8/84/Reed_Richards_%28Earth-616%29_from_Fantastic_Four_Vol_6_25_cover_001.jpg/revision/latest/scale-to-width-down/325?cb=20210414044706,"4 Yancy Street, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Reed_Richards_(Earth-616),https://marvel.fandom.com/wiki/Reed_Richards_(Earth-616)#Powers_and_Abilities,Clarksburg,CA,95612,38.392688,-121.5730111
4,{'$oid': '60ba7853eb3d706d33244c82'},Jonathan Storm,Human Torch,"Jonathan Lowell Spencer ""Johnny"" Storm",Male,Divorced,Good,70,170.0,Blue,Blond,Heterosexual,"Glenville, Long Island, New York",American,Glenville High graduate; former student at Empire State University and Metro College,Adventurer; firefighter; Chief Financial Officer - Fantastic Four; Inc.;  actor; mechanic; race car driver; circus per; musician; ruler of the Negative Zone,2,2,5,8,5,3,https://static.wikia.nocookie.net/marveldatabase/images/8/88/Fantastic_Four_Vol_6_1_Human_Torch_Variant_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20180523100956,"formerly Avengers Mansion, Manhattan, New York City, New York; Schaefer Theater, Manhattan, New York City, New York; Baxter Building, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Jonathan_Storm_(Earth-616),https://marvel.fandom.com/wiki/Jonathan_Storm_(Earth-616)#Powers_and_Abilities,Schenectady,NY,12302,42.8682502,-73.9282787
5,{'$oid': '60ba7853eb3d706d33244c83'},Susan Storm,Invisible Woman,"Dr. Susan ""Sue"" Storm Richards",Female,Married,Good,66,120.0,Blue,Blond,Heterosexual,"Glenville, Long Island, New York",American,Doctorate in unrevealed field; high school education,Adventurer; Regent of the Uhari throne at The Peak; substitute teacher; actress; spy; student,3,2,3,6,5,3,https://static.wikia.nocookie.net/marveldatabase/images/3/39/Susan_Storm_%28Earth-616%29_from_Fantastic_Four_Vol_6_25_cover_001.jpg/revision/latest/scale-to-width-down/325?cb=20210414044704,"New York City, New York",https://marvel.fandom.com/wiki/Susan_Storm_(Earth-616),https://marvel.fandom.com/wiki/Susan_Storm_(Earth-616)#Powers_and_Abilities,Schenectady,NY,12302,42.8682502,-73.9282787
6,{'$oid': '60ba7853eb3d706d33244c84'},Clinton Barton,Hawkeye,"Clinton Francis ""Clint"" Barton",Male,Divorced,Good,75,230.0,Blue,Blond,Heterosexual,"Waverly, Iowa",American,"High school dropout, various self-directed studies",Adventurer; Vigilante; landlord;  S.H.I.E.L.D. agent; outlaw adventurer; revolutionary; security chief; ranch hand; archery tutor; carnival per; roustabout; butcher shop worker,3,2,2,2,1,6,https://static.wikia.nocookie.net/marveldatabase/images/7/7e/Civil_War_II_Vol_1_3_Hawkeye_Variant_Textless.jpg/revision/latest/scale-to-width-down/330?cb=20160312004004,"Clint Barton's Apartment Building, Bedford-Stuyvesant, Brooklyn, New York City, New York; West Coast Avengers HQ, Venice, Los Angeles, California",https://marvel.fandom.com/wiki/Clinton_Barton_(Earth-616),https://marvel.fandom.com/wiki/Clinton_Barton_(Earth-616)#Powers_and_Abilities,Waverly,IA,50677,42.7258142,-92.4754626
7,{'$oid': '60ba7853eb3d706d33244c85'},Matthew Murdock,Daredevil,"Matthew Michael ""Matt"" Murdock",Male,Divorced,Good,71,185.0,Blue,Red,Heterosexual,"Hell's Kitchen, New York City, New York",American,"J.D. in law at Columbia University and Harvard Law School, Self-taught in mechanical engineering",Parole officer; Adventurer; Vigilante; Lawyer; Mayor of New York City; Deputy Mayor of New York City; Assistant District Attorney; Leader of the Hand; Short Order Cook,3,3,2,2,4,5,https://static.wikia.nocookie.net/marveldatabase/images/a/aa/Daredevil_Vol_6_21_Textless.jpg/revision/latest/scale-to-width-down/329?cb=20200221001243,"Matt Murdock's Apartment, Hell's Kitchen, New York City, New York",https://marvel.fandom.com/wiki/Matthew_Murdock_(Earth-616),https://marvel.fandom.com/wiki/Matthew_Murdock_(Earth-616)#Powers_and_Abilities,New York,NY,10019,40.7644228,-73.9923918
8,{'$oid': '60ba7853eb3d706d33244c86'},Stephen Strange,Doctor Strange,Dr. Stephen Vincent Strange,Male,Separated,Good,72,180.0,Grey,Black,Heterosexual,"Philadelphia, Pennsylvania",American,"Medical doctorate from Columbia University, residency at New York-Presbyterian Hospital, and extensive sorcery training through a mixture of self-education and vast arcane lore of a Sorcerer Supreme",Sorcerer Supreme; adventurer; occult consultant; veterinarian; physician; neurosurgeon,4,2,9,2,6,6,https://static.wikia.nocookie.net/marveldatabase/images/3/35/Doctor_Strange_Annual_Vol_3_1_Textless.jpg/revision/latest/scale-to-width-down/328?cb=20191004204455,"Sanctum Sanctorum, 177A Bleecker Street, Greenwich Village, Manhattan, New York City, New York",https://marvel.fandom.com/wiki/Stephen_Strange_(Earth-616),https://marvel.fandom.com/wiki/Stephen_Strange_(Earth-616)#Powers_and_Abilities,Philadelphia,PA,19107,39.9527237,-75.1635262
9,{'$oid': '60ba7853eb3d706d33244c87'},Mary Jane Watson,Mary Jane Watson,"Mary Jane ""MJ"" Watson",Female,Single,Good,68,120.0,Green,Red,Heterosexual,"Montoursville, Pennsylvania",American,College,Actress;  executive assistant of Tony Stark; professional fashion model; nightclub owner,2,2,2,2,1,2,https://static.wikia.nocookie.net/marveldatabase/images/5/5c/Amazing_Spider-Man_Vol_5_1_ComicBookRealm.com_Exclusive_Virgin_Variant.jpg/revision/latest/scale-to-width-down/325?cb=20180808005051,"New York City, New York",https://marvel.fandom.com/wiki/Mary_Jane_Watson_(Earth-616),https://marvel.fandom.com/wiki/Mary_Jane_Watson_(Earth-616)#Powers_and_Abilities,Montoursville,PA,17754,41.2552213,-76.9128928
